Subject,Students,Mean grade,%7,%6,Grade_6_7_pct,Reward_Score
TURKISH A: LITERATURE SL,948,4.7,7.5,19.6,27.1,14.780000000000001
ITALIAN A: LITERATURE SL,173,4.9,5.8,22.0,27.8,14.420000000000002
JAPANESE A: LITERATURE SL,170,5.0,4.7,23.5,28.2,14.160000000000002
PORTUGUESE A: LITERATURE SL,115,5.1,4.3,23.5,27.8,13.860000000000001
SPANISH A: LANGUAGE AND LITERATURE SL,2741,4.8,4.5,23.0,27.5,13.760000000000002
RUSSIAN A: LITERATURE SL,469,4.9,3.4,24.7,28.099999999999998,13.58
SWEDISH A: LANGUAGE AND LITERATURE HL,42,4.9,2.4,26.2,28.599999999999998,13.379999999999999
FRENCH A: LITERATURE SL,416,4.9,3.6,23.3,26.900000000000002,13.180000000000001
ENGLISH A: LANGUAGE AND LITERATURE HL,43338,4.8,4.1,21.5,25.6,12.840000000000003
MOD. GREEK A: LANGUAGE AND LITERATURE HL,51,5.0,2.0,25.5,27.5,12.8
FRENCH A: LITERATURE HL,393,5.0,2.8,22.9,25.7,12.4
FRENCH A: LANGUAGE AND LITERATURE SL,1006,4.8,3.6,20.7,24.3,12.120000000000001
RUSSIAN A: LITERATURE HL,109,4.9,0.9,25.7,26.599999999999998,11.98
PORTUGUESE A: LANGUAGE AND LITERATURE HL,670,4.8,3.0,20.9,23.9,11.720000000000002
SPANISH A: LANGUAGE AND LITERATURE HL,5122,4.8,2.7,20.8,23.5,11.440000000000001
FRENCH A: LANGUAGE AND LITERATURE HL,828,4.8,4.0,18.0,22.0,11.36
JAPANESE A: LITERATURE HL,52,5.0,3.8,17.3,21.1,10.96
SWEDISH A: LANGUAGE AND LITERATURE SL,146,4.7,3.4,17.8,21.2,10.78
ITALIAN A: LANGUAGE AND LITERATURE HL,157,4.9,1.3,19.7,21.0,9.9
SPANISH A: LITERATURE HL,3943,4.7,2.8,16.1,18.900000000000002,9.620000000000001
ENGLISH A: LITERATURE HL,30239,4.6,1.5,16.0,17.5,8.52
SWEDISH A: LITERATURE SL,170,4.6,2.4,14.1,16.5,8.48
ITALIAN A: LANGUAGE AND LITERATURE SL,188,4.7,1.6,14.9,16.5,8.18
SPANISH A: LITERATURE SL,1871,4.4,3.1,11.7,14.799999999999999,8.040000000000001
